epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1978.03,0.53816,0.57339,0.9893,0.643,0.57504,0.60992,0.50614,0.82516,1.04026,1.2657,0.000462281,0.000462281,0.000462281
43,2023.17,0.53171,0.55259,0.97973,0.53494,0.66808,0.60476,0.48314,0.81971,0.9918,1.26051,0.000438703,0.000438703,0.000438703
44,2069.93,0.52427,0.54788,0.97267,0.46761,0.75161,0.56087,0.45703,0.80362,0.96453,1.24398,0.000415124,0.000415124,0.000415124
45,2114.82,0.53229,0.55517,0.98097,0.49395,0.68025,0.5575,0.4478,0.82144,1.04257,1.25967,0.000391546,0.000391546,0.000391546
46,2161.43,0.51898,0.53307,0.97278,0.6019,0.57437,0.56265,0.45502,0.80177,1.07814,1.23811,0.000367967,0.000367967,0.000367967
47,2206.78,0.50576,0.52007,0.96552,0.59438,0.59105,0.60324,0.48571,0.79754,0.95794,1.21717,0.000344389,0.000344389,0.000344389
48,2252.76,0.52606,0.53924,0.98312,0.56581,0.65059,0.57631,0.47459,0.77883,1.0371,1.22977,0.00032081,0.00032081,0.00032081
49,2297.78,0.5099,0.51884,0.96919,0.5089,0.63491,0.53961,0.44429,0.787,1.04112,1.24682,0.000297232,0.000297232,0.000297232
50,2342.53,0.50325,0.51667,0.96415,0.47914,0.63435,0.53163,0.43615,0.81589,1.07137,1.25679,0.000273654,0.000273654,0.000273654
51,2387.17,0.43058,0.4005,0.93687,0.56912,0.58585,0.59672,0.5055,0.79341,1.0239,1.24875,0.000250075,0.000250075,0.000250075
52,2428.49,0.42843,0.3885,0.93231,0.67331,0.58666,0.60708,0.49626,0.82105,0.96695,1.2615,0.000226497,0.000226497,0.000226497
53,2467.96,0.41421,0.37153,0.92203,0.55272,0.64033,0.58107,0.47132,0.8138,1.01465,1.25474,0.000202918,0.000202918,0.000202918
54,2508.47,0.41008,0.36438,0.92062,0.59058,0.61153,0.60177,0.49632,0.80522,1.00848,1.24391,0.00017934,0.00017934,0.00017934
55,2549.64,0.40369,0.3489,0.91737,0.53433,0.69592,0.59066,0.4799,0.79199,1.05255,1.23607,0.000155761,0.000155761,0.000155761
56,2591.01,0.39969,0.34055,0.90861,0.5506,0.67121,0.59496,0.49041,0.77841,1.06676,1.23299,0.000132183,0.000132183,0.000132183
57,2632.95,0.39835,0.33142,0.91049,0.53858,0.61895,0.5791,0.47216,0.77358,1.08252,1.22575,0.000108604,0.000108604,0.000108604
58,2673.46,0.38734,0.3216,0.90414,0.52369,0.64148,0.57212,0.47542,0.76672,1.12356,1.23075,8.50255e-05,8.50255e-05,8.50255e-05
59,2713.59,0.38462,0.32564,0.90865,0.5741,0.61765,0.59579,0.49338,0.76126,1.0861,1.22522,6.1447e-05,6.1447e-05,6.1447e-05
60,2754,0.37758,0.31265,0.90277,0.55894,0.63701,0.59104,0.49071,0.75918,1.10113,1.22027,3.78685e-05,3.78685e-05,3.78685e-05
